title	text	source	language
"Case-Based Introduction to Biostatistics"	"Statistics and Data Analysis Module 1 (Weeks 1 &amp; 2) Question: What common background understanding do I need to get started in improving my ability to critically and quantitatively reason about health questions?Module 2 (Weeks 3 &amp; 4) Question: How do the average medical care costs for people with a major smoking-caused disease (MSCD) differ from those for people without MSCDs who are otherwise similar?Module 3 (Week 5) Question: What is the rate of infant survival during the first 26 weeks of life in southern Nepal and how does the rate of survival vary by infant’s gestational age, sex, or being a singleton versus twin birth? The course objective is to enable each student to enhance his or her quantitative
scientific reasoning about problems related to human health. Biostatistics
is about quantitative approaches - ideas and skills - to address bioscience
and health problems. To achieve mastery of biostatistics skills, a student
must “see one, do one, teach one.” Therefore, the course is organized to
promote regular practice of new ideas and methods.

The course is organized into 3 self-contained modules. Each module
except the first is built around an important health problem.&nbsp;The
first module reviews the scientific method and the role of experimentation
and observation to generate data, or evidence, relevant to selecting among
competing hypotheses about the natural world. Bayes theorem is used to
quantify the concept of evidence. Then, we will discuss what is meant by
the notion of “cause.”
&nbsp;
In the second module, we use a national survey dataset to estimate the
costs of smoking and smoking-caused disease in American society. The concepts
of point and interval estimation are introduced. Students will master the
use of confidence intervals to draw inferences about population means and
differences of means. They will use stratification and weighted averages
to compare subgroups that are otherwise similar in an attempt to estimate
the effects of smoking and smoking-caused diseases on medical expenditures.
In the final module, we will study what factors influence child-survival in Nepal using data from the Nepal Nutritional Intervention Study Sarlahi or NNIPPS. Students will estimate and obtain confidence intervals for infant survival rates, relative rates and odds ratios within strata defined by gestational period, singleton vs twin births, and parental characteristics. 

Developed in collaboration with Johns Hopkins Open Education Lab. Learn to frame and address health-related questions using modern biostatistics ideas and methods." ,"Coursera"	"en"	
"Modelling and Simulation using MATLAB"	"Modelling and Simulation using MATLAB Technical progress wouldn’t be possible
without modelling and simulation. They are starting point and basis in most
cases of research and development. Modelling and simulation make a particular
part or feature of the world easier to define, visualize, quantify and
understand. Both require identifying and selecting relevant aspects of a
situation in the real world and then using different types of models for
different aims and defining the best fitting model parameters. MATLAB is a
high-level programming language and an environment for numerical computation
and visualization. You can analyse data and create models for a wide range of
applications, including signal processing and communications, image and video
processing, control engineering and computational finance. In this course you
will learn the basics of modelling and simulation from an interdisciplinary
perspective. In addition, we will teach you how to develop models using MALTAB
and the block diagram environment Simulink. Why this MOOC is interdisciplinary
Scientific disciplines have their own ideas about specific types of modelling.
Such as conceptual models to better understand the subject, graphical models
to visualize the subject, operational models to operationalize and
mathematical models to quantify the subject. In this course, our experts from
three disciplines look at modelling concepts from various angles:
Technological view Economic perspective Importance of knowledge management.
Course Contents The course is divided in two sections. The first part (A)
teaches the basics and is mandatory to all participants. Within the second
part of the course (B) you have the opportunity to choose from a catalogue of
applications (MOOClets) to work on selected examples. Part A –
Interdisciplinary Introduction to modelling and simulation Modelling
Simulation Introduction to MATLAB concepts Building a business case Methods to
solve formal problems Knowledge management Introduction to Simulink Part B –
Selectable Applications of modelling and simulation (MOOClets) You can choose
three to five applications according to your preference and knowledge from the
following catalogue: Simulation of a water treatment plant Application
'modelling a business base' Application 'knowledge management' Control
engineering I – 'controlling Lego® NXT robots' Control engineering II – 'line
tracking with Lego® Segway' Control engineering III – 'a Segway – how does it
work?' Image processing I – ‘statistics for image processing and machine
learning’ Image processing II – 'a brief introduction to image processing'
Image processing III – ‘application of machine learning algorithms in a
nutshell' Quality measurement of video cameras (lenses and sensors) Acoustic
simulation of musical instruments … (further chapters are planned) Learning
with the MOOC During the term of the MOOC we will offer video lectures that
convey modelling and simulation step by step in a descriptive way. You will
exercise the issues in interactive tasks and weekly homework. The MOOC
platform is a networking tool. You can benefit from the peer-to-peer learning
and the forum within the course. While not required, we recommend creating
learning groups and to engage in the community. Experimentation and playful
learning are part of the MOOC. Learning Outcomes Students are acquainted with
the concepts of modelling and simulation from an interdisciplinary point of
view Students are able to implement and simulate models using MATLAB/Simulink
Depending on the selected applications in part B of the course students get
deeper know how in control engineering, image processing, machine learning,
business case modelling, knowledge management and simulation of a water
treatment plant. Enthusiastic students with only simple programming knowledge
get an understanding of the basic MATLAB programming. Workload Approx. 8-12
hours per week. 12 Units including individual selected applications of Part B.
Experimentation and a deeper look at the topics as you like. FAQ" ,"coursetalk"	"en"	
"e-Learning Ecologies"	"Information, Tech & Design This course is broken up into 8 weekly modules covering the following topics:

Week 1: Conceptualizing Learning
Week 2: Spatio-Temporal Dimensions of Learning (Ubiquitous Learning)
Week 3: Epistemic Dimensions of Learning (Active Knowledge Making)
Week 4: Discursive Dimensions of Learning (Multimodal Meaning)
Week 5: Evaluative Dimensions of Learning (Recursive Feedback)
Week 6: Social Dimensions of Learning (Collaborative Intelligence)
Week 7: Cognitive Dimensions of Learning (Metacognition)
Week 8: Diversity Dimensions of Learning (Differentiated Learning) For more than 3 decades we have heard educators and technologists making a case for the transformative power of technology in learning. However, despite the rhetoric, in many sites and many ways education is still relatively untouched by technology. Even when technologies are introduced, the changes sometimes seem insignificant and the results seem disappointing. If the print textbook is replaced by an e-book, do the social relations of knowledge and learning necessarily change at all or for the better? If the pen-and-paper test is mechanized, does this change the nature of our assessment systems? Technology, in other words, need not necessarily bring significant change. Technology might not even represent a step forward in education.

This course explores 7 affordances of e-learning ecologies, which open up genuine possibilities for what we call New Learning—transformative, 21st century learning:


Ubiquitous Learning
Active Knowledge Making
Multimodal Meaning
Recursive Feedback
Collaborative Intelligence
Metacognition
Differentiated Learning


These affordances, if recognized and harnessed, will prepare learners for success in a world that is increasingly dominated by digital information flows and tools for communication in the workplace, public spaces, and personal life. This course offers a wide variety of examples of learning technologies and technology implementations that, to varying degrees, demonstrate these affordances in action. This course introduces innovative approaches to learning and teaching, with a focus on the use of e-learning and social web technologies." ,"Coursera"	"en"	
"Engineering Software as a Service (Saas), Part 2"	"Computer Science This SaaS course is Part 2 of the University of California, Berkeley's semester-long course on Engineering Software as a Service. Part 1 of the course covers Agile development methods to deploy a simple SaaS app in the cloud. In this second part of the course, learners will create more sophisticated apps by adding relationships between models in apps and by enhancing their apps with JavaScript. They also learn about what happens after the apps are deployed to real users, including how to monitor performance, identify and fix common performance problems, and avoid compromising customer data. Finally, learners will see how to apply Agile techniques to enhance and refactor legacy code, a critical skill for professional programmers.

Other topics covered in this software engineering course include:

How to form, organize and manage small programming teams
	Introduction to design patterns: what they are and how to recognize opportunities to apply them
	Using Rails for more advanced features like third-party authentication and elegantly expressing design patterns that arise frequently in SaaS
There will be three homework assignments: two programming assignments and one assignment about operations/deployment. There will also be several short quizzes. The videos and homework assignments used in this offering of the course were revised in October 2013. How to use JavaScript to enhance applications and create more sophisticated apps by adding relationships between models
	App deployment process to real users, including how to monitor performance, identify and fix common performance problems, and avoid compromising customer data
	How to apply Agile techniques to enhance and refactor legacy code" ,""	"English"	
"Computer Graphics"	"Computer Science Today, computer graphics is a central part of our lives, in movies, games, computer-aided design, virtual simulators, visualization and even imaging products and cameras.  This course teaches the basics of computer graphics that apply to all of these domains.
Students will learn to create computer-generated images of 3D scenes, including flybys of objects, make a real-time scene viewer, and create very realistic images with raytracing.  We will start with a simple example of viewing a teapot from anywhere in space, understanding the basic mathematics of virtual camera placement.  Next, you will learn how to use real-time graphics programming languages like OpenGL and GLSL to create your own scene viewer, enabling you to fly around and manipulate 3D scenes.  Finally, we will teach you to create highly realistic images with reflections and shadows using raytracing.CSE167x teaches the foundations of computer graphics. 

This course runs for 6 weeks and consists of four segments. Each segment includes an individual programming assignment:

Overview and Basic Math (Homework 0: 10% of grade)
	Transformations (Homework 1: 20% of grade)
	OpenGL and Lighting (Homework 2: 35% of grade)
	Raytracing (Homework 3: 35% of grade)
This term, students who earn a total score of 50% or greater will have passed the course and may obtain a certificate from UC San DiegoX.

FAQ

What is the format of the class?

The class will consist of lecture videos, brief exercises, and homework assignments. Each of the four segments of the course will have 2-3 lectures. Each lecture includes 3-5 lecture videos, which last between 10 and 20 minutes. There will be a brief exercise after each lecture video to help you test your understanding of the material. 

Your score will be determined entirely by programming assignments for which you will receive immediate autograder feedback. You may submit your assignment to the autograder multiple times; only your last submission will count.

Programming projects are to be implemented individually without copying code from other students, largely identical online resources, or previous instances of the class. However, short of posting or sharing actual explicit code, you are encouraged to collaborate and discuss problems in the discussion forums.

Will the text of the lectures be available?

Yes. All of our lectures will have transcripts synced to the videos.

Do I need to watch the lectures live?

No. You can watch the lectures at your leisure. You can "work ahead" if you want to move faster than the due dates. Conversely, you can progress at a slower pace. Please note that certificates will only be awarded to students who obtain the requisite score by turning in assignments by the established deadlines.

How much does it cost to take the course?

Nothing: the course is free. If you expect to be doing a lot of graphics programming in the future, we would recommend the OpenGL and GLSL programming guides, but it is by no means required to purchase them. There are many free online resources for these topics, and we will be posting links to them.

What computer system do I need for the course?

The course material involves C++/OpenGL/GLSL programming that is portable. We provide skeleton code for all major platforms (Windows, Mac OS, Linux). This is a modern course involving programmable shaders, but any machine built in the last few years should be adequate. We provide many compilation hints and tips, and Homework 0 is to ensure you can compile and work with the autograder. You do need some kind of C++ development environment; we provide several resources to get you started for Homework 0. In the highly unlikely event you cannot get your machine to work, you will hopefully have adequate time to find another system.

Will I learn Maya/DirectX/3D Studio Max etc.?

This is a course on the foundations of computer graphics and covers concepts, not the intricacies of a particular software package. That said, you will be able to write complex interactive and offline 3D graphics programs at the end of the course in C++, OpenGL and GLSL.

Can I contact the Instructor or Teaching Assistants?

Yes, but not directly. The discussion forums are the appropriate venue for questions about the course. The instructors will monitor the discussion forums and try to respond to the most important questions; in many cases response from other students and peers will be adequate and faster.

I have a disability (visual/hearing etc.) Can I take the course?

In most cases, yes. We provide transcripts for all lectures. Many leading computer graphics researchers have had visual impairments like color-blindness. However, this being a computer graphics course that relies on visual image comparisons, we probably cannot provide adequate support for those who are legally blind.

I have a busy schedule this fall. Can I still take the course?

The course does require about 12 hours per week of work, and the assignments (where you are given two weeks) require the time. Certificates of achievement require a passing score. Of course, you are welcome to just go through the lectures or attempt some of the assignments if you are not interested in a certificate; we hope to provide something for everyone.

  Understand the concepts of 3D graphics
	Write and develop programs that create images of a 3D scene with lighting
	Learn the basics of graphics programming with OpenGL and GLSL
 " ,""	"English"	
"Introduction to SAP HANA Cloud Platform (Repeat)"	"SAP HANA Cloud Platform is an open standards-based, in-memory cloud platform
designed for today’s increasingly networked, mobile, social and data-driven
world. Developers can quickly build impactful, highly scalable applications
leveraging the massive speed and scale of SAP HANA.This Platform-as-a-Service
(PaaS) offering allows you to focus on developing your software and use an
enterprise-ready pre-installed environment in the SAP Cloud to deploy and run
your applications in a secure and reliable way.This course will introduce you
to SAP HANA Cloud Platform and show you how to take advantage of the various
services it provides. Ideally, you should have basic skills in Java
programming as well as basic skills in using the Eclipse development
environment. The developer experience on SAP HANA Cloud Platform has been
simplified, and this course has been updated to reflect this since its first
run in Q4, 2013. Working with SAP HANA and SAP HANA native applications on SAP
HANA Cloud Platform has become much easier, as well as using the connectivity
service.The registration, learning content, and the final exam are free of
charge. You will be able to get some practical experience of the platform by
using a free developer trial account. We’ll explain how you can get access at
the start of the course." ,"coursetalk"	"en"	
"Rapid Deployment of SAP Solutions"	"SAP focuses on continuous solution innovation, be it with cloud and hybrid
solutions for HCM and SuccessFactors, User Experience with SAP Fiori and
Screen Personas, SAP HANA, Big Data and Analytics, or Customer Engagement &
Commerce.As an SAP customer or partner, if you feel challenged by the
abundance of recent SAP innovations and want a simple approach to enable you
to understand and implement the ones you really need, then this course is made
for you.Learn how to quickly adopt key innovations in SAP solutions and
technologies. Understand how best practices, proven methodologies, and pre-
configured content make adopting innovations simple and predictable. Embrace
SAP Rapid Deployment solutions (RDS) and SAP Best Practices for implementing
the innovations you want to adopt, as they help you to lower the complexity of
your projects, and hence project risks, while accelerating time to value.
Whether you are an SAP customer or an SAP partner, you can leverage rapid-
deployment solutions for your implementations. Additionally, if you work for
an SAP partner and complete this course successfully, it counts towards
obtaining an RDS qualification for your company.In the first week of this
5-week course you will learn the basics of SAP Rapid Deployment solutions, how
to successfully adopt them, as well as understand the key concepts and
tools.In weeks two and three, you can select one or more strategic solution
domains to get a deep understanding of the portfolio and the most prominent
solutions. We feature the following solution domains:Quick Adoption of SAP ERP
powered by SAP HANA,SAP HANA,Big Data,SAP User Experience with SAP Fiori and
Screen Personas,Customer Engagement & Commerce, andHuman Capital Management
with SAP and SuccessFactors. In the final two weeks of the course, you will
learn how to deploy an SAP Rapid Deployment solution end to end.Throughout the
course your feedback and your ideas are appreciated in “Point of View”
discussions." ,"coursetalk"	"en"	
"Calculus III (Multivariable Calculus)"	"Videos on a third course in calculus (Multivariable Calculus)." ,"coursetalk"	"en"	
"Water Management | edXhtml"	"Environmental Studies
          
        
          
            Biology & Life Sciences
          
        
          
            Engineering XSeries Program Overview

Safe water supply and hygienic water treatment are prerequisites for the well-being of communities all over the world. This Water XSeries, offered by the water management experts of TU Delft, will give you a unique opportunity to gain access to world-class knowledge and expertise in this field.

This 3-course series will cover questions such as: How does climate change affect water cycle and public safety? How to use existing technologies to treat groundwater and surface water so we have safe drinking water? How do we take care of sewage produced in the cities on a daily basis? You will learn what are the physical, chemical and biological processes involved; carry out simple experiments at home; and have the chance to make a basic design of a drinking water treatment plant

            
              
                
                  
                    
                    
                  
                  See more
                  
                    about Water Management
                  
                

                
                  
                    
                    
                  
                  Hide Learn about urban water services, focusing on conventional technologies for drinking water treatment. Learn about urban water services, focusing on basic sewage treatment technologies. Explore how climate change, water availability, and engineering innovation are key challenges for our planet." ,""	"English"	
